,25,100,97.86097591,98.13636162,99.12037501,101.3579344,102.2848407,99.00210404,100.8263309,102.1125877,99.01558677,100.0035089,102.1992552,99.36496979,98.98986018,101.0147014,97.80943008,102.3587441,101.6327695,98.61957022,102.3825635,99.7713154,98.34992165,98.31955591,102.4231694,99.27109723,98.29846061,97.92309002,100.7376143,102.122805,101.1083118,98.6002186,102.4404369,98.51217011,102.0635491,99.05631649,98.36272752,99.26349046,101.3666153,102.2938673,100.1832795,97.53101613,98.31381058,101.0831119,100.4709201,101.8146054,98.71222712,102.00727,97.72347285,98.26605372,101.4231853,100.308594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,1000,996.1942542,983.2584956,987.017833,1012.279484,1024.100572,990.0467153,1023.858418,1012.72697,995.5378246,1012.524388,1023.551679,997.1471245,997.6410401,1009.934422,994.6466298,999.7843814,980.0101249,991.3147093,990.62524,1008.008667,981.2337793,998.3200722,984.8635561,989.6999696,999.5145787,1004.651905,1015.945341,985.8949964,979.5530909,1011.574074,1000.836694,984.7894408,988.4246433,1007.123255,1014.825937,989.2609533,1013.991809,1009.505566,985.3008979,1004.229173,985.5740859,1015.765789,996.4553185,989.940243,1013.717436,992.6070487,982.4006592,1012.697054,991.4005588,1020.830452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.02,0.019988026,0.02019944,0.01979827,0.020328961,0.019933599,0.019969465,0.019623835,0.019790184,0.020419136,0.019509385,0.019979649,0.019883673,0.019811335,0.019912892,0.020008327,0.020164253,0.019800433,0.02039864,0.020149834,0.019900113,0.020320153,0.019548729,0.020037604,0.020132415,0.019579182,0.019715185,0.020102689,0.020389668,0.020397783,0.019850304,0.020403978,0.019720161,0.020018638,0.019685082,0.020186019,0.019569355,0.019705433,0.019678618,0.020359332,0.019736373,0.020203351,0.020155011,0.020329445,0.019518399,0.019565066,0.020274071,0.019850821,0.020381834,0.01989561,0.019537642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.1,0.102332977,0.100569726,0.100725558,0.099131317,0.101439416,0.101762778,0.097537126,0.100542695,0.101776815,0.09807664,0.100830998,0.098699619,0.101726068,0.097531526,0.100698576,0.098017704,0.099942201,0.099854035,0.101752441,0.099404022,0.099992036,0.100346432,0.098584705,0.099867643,0.099327148,0.100344769,0.099151488,0.100987083,0.101148929,0.098304402,0.100734293,0.098208903,0.1021508,0.101313652,0.100700791,0.098672899,0.097608065,0.100878375,0.100640447,0.10067237,0.098988043,0.100073402,0.099100645,0.098198231,0.102113465,0.101304041,0.097570037,0.099922348,0.098165028,0.100875914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15.000,100.000,97.861,98.136,99.120,101.358,102.285,99.002,100.826,102.113,99.016,100.004,102.199,99.365,98.990,101.015,97.809,102.359,101.633,98.620,102.383,99.771,98.350,98.320,102.423,99.271,98.298,97.923,100.738,102.123,101.108,98.600,102.440,98.512,102.064,99.056,98.363,99.263,101.367,102.294,100.183,97.531,98.314,101.083,100.471,101.815,98.712,102.007,97.723,98.266,101.423,100.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17.487,108.067,106.048,106.202,107.119,109.560,110.689,107.190,108.531,110.323,107.396,107.660,110.540,107.183,107.115,108.833,105.801,110.419,109.709,106.721,110.894,107.717,106.408,106.126,110.491,107.314,105.998,105.772,108.810,110.613,109.541,106.318,110.942,106.140,110.544,107.093,106.484,106.941,109.140,110.509,108.474,105.399,106.207,109.314,108.592,109.592,106.777,110.488,105.272,106.362,109.321,108.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19.818,119.146,117.386,117.310,118.123,120.803,122.288,118.503,119.012,121.610,118.994,118.090,122.028,117.869,118.334,119.476,116.806,121.413,120.785,117.856,122.653,118.606,117.485,116.846,121.512,118.358,116.535,116.560,119.869,122.321,121.178,116.855,122.659,116.542,122.273,118.171,117.677,117.422,119.718,121.811,119.896,116.226,117.017,120.628,119.720,120.185,117.922,122.192,115.549,117.497,120.091,119.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
